title,Zip Code,website,latitude,longitude,type,Activity,Adult Club,LGBT +,price,thumbnail,description
Goodlander Cocktail Brewery,15206,http://www.goodlandercocktails.com/,40.45744,-79.9102159,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/p/AF1QipPHmZ9tFmbiq330sVQMtEI2pKnRtSrLdSjzq2Rc=s1024-v1,
Jackworth Ginger Beer,15206,https://jackworth.co/,40.457861,-79.910142,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweolyyKjaukZVFCmgMPMH3ioIyvIYXiPanRTWh_upuwUz2V_sNMTn2FJJPWD6UYzyMEiaXMFBQb7Adx46zTyQrKU5zm_uPWhtkfz0uB2Nq01NabCnRCp_AP6a-PiE4IhgjRUdxay=s1024-v1,
Kelly's Bar & Lounge,15206,https://kellysbarlounge.com/,40.4598916,-79.9243914,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq4LmHV5ogJ3bHAeV4vHP2XgqcXmNnRdAcwFMicb6jmsYqWsTbRLya3KFXazHLCq1jLxvnrIQdoI3AzUUMAItsjwCBc45XNTAV-mPePHMjU-9C1fDNaoFBExMhzqcVDdVAYq3E=s1024-v1,"Trendy venue for cocktails & pub grub. Hearty bar bites, ales & an extensive cocktail list in a hip hub with a patio & happy-hour specials."
Park Place Pub,15206,,40.4762,-79.9209463,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoTNabouGBilV3j5xgJ8YgO7aNiSxd5pQZhcCvnjJZRHDsMN_VLufDdNFzrmyZt3Rnaqx5AXV9P7xrzEUIfQkrz0YyHYbfCK1ItPzWt9MC7WCDSw8KdfK_DMHISrU5JqX_diY7G=s1024-v1,
Shadyside Hideaway Bar,15206,https://m.facebook.com/pages/category/Pub/Shadyside-Hideaway-Bar-214440072048737/,40.4579716,-79.9255737,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerQYrf00Ih6pr4yAwx7XkbHDWAKjv_XhpP6Fwh8v5in5O3RCe-nOvq4vaKCgYs68v8vBHdOSTKajMlim26rZ8nTwCJi6xf-Gh0C_3dJYV3h9425K-dwWuTKZyjmUSPpMPm-xeZq_w=s1024-v1,
The Bulldog Pub,15206,http://thebulldogpub.com/,40.4867684,-79.9266313,Bar & grill,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoHfSDABXuwE0kkfA0KSZZERFq2dvaunhewbC4rUX0cV_5iOCFEdwD5mYhw_JCTnoiEbdxHstGLQ3fUrpMeL1F7q_fmLCEP8TTtzPIpXk9gR0EeQQ44tELWcIOTqlSwsM1-8gTE=s1024-v1,"Laid-back choice for burgers & beer. Small, unpretentious watering hole with many craft beers & a menu of burgers, sandwiches & wings."
Abstract Realm Brewing Co,15207,http://www.abstractrealmbrewing.com/,40.4077376,-79.9454629,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/p/AF1QipMJ1XVJCiB4RE9mvgYW4p5512zwnJ0bgPhYDGCX=s1024-v1,
Hazel Grove Brewing,15207,http://hazelgrovebrewing.com/,40.4142154,-79.9454344,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoGeKgq72bQ3jLLD2SkYLU94U5FGYWUq0MGEBpqgOCK72mLJ7rFT7s2gGTpWbijcfYwaBrQrA1i8tC-ox46JW5xJz_5bRdnY2dVjb637YnP0wDjsVlIsXtBslvaXHdbOt85zMx0=s1024-v1,
Mondays Brewing Taproom,15207,https://mondays.beer/,40.4261883,-79.9403606,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/p/AF1QipMDWOnv1G6G9bBDmriydA9My2zAJBzzKZXkkSgu=s1024-v1,
New France Brewing Company,15207,https://www.newfrancebrewco.com/,40.4078382,-79.9454834,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqqUtDrreWQkK6VOJjYYO4ODxgLhU9lGxsNCn8Mi90lsYV9haHKntLGkQpnIWXDTH0QuhbF1WxteMjNfKo6HGZY6wcWCb8n3f5GCtsZyNyIjdO92y0njFiFvQdKBhqLkR4JPxfe=s1024-v1,
Zano's Pub House,15207,,40.426535,-79.9499225,Bar / Pub,,,,$,https://lh3.googleusercontent.com/p/AF1QipNJYLl2RkN9xpbBgRSGWGoZA1RU4EU10jmsRbqW=s1024-v1,
Galaxy Lounge & Entertainment Center,15208,,40.454877,-79.8953953,Lounge,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9XfqrAfou0YYvUDl0Nh637GIhmVmxt4R6i5uPc0Iuw35zetoZcJk13O2rvfXMS5MYpst3Cdgc3P6fCjUk2rGKiHq4vqVQ_bM7gdFeHVqR114-N3uh6wpeqJtJc5ZMo68YTw6Q=s1024-v1,
Sudz Brew Thru Beer Distributor,15208,,40.4578043,-79.9082717,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/p/AF1QipOcwolOAiKfDOpSILePC6S6oJRCjN379KdHhbvC=s1024-v1,
The Space Upstairs,15208,http://thespaceupstairs.org/,40.4503713,-79.8984652,Live music venue,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepYkp3b29yhHjnreZvW6t8fSiNpweB1i_N71GAj8xgI7RSKsrzrNba5qi89ZUaj5ys2u1b7IeiNS17dHcz2ZE7lu0-wAEZ7Zg1m3H_vpXkCT74WCkPme6OlO9-JOHoykWDsjtUo3g=s1024-v1,
Burghers Brewing Co. Millvale,15209,https://burgherspgh.com/,40.4800929,-79.9730202,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoqqepwlaMQ2mwl1QDsF2LW-5pOvjrZ2evl9OQf_XtvNTwNvOAr8xU3SjSrIvCCiJfplmdv79FZz6tI_eZ_uCvffrxR9XQ89QO7qWZpIRcuxxySSM9f-vCth9rTH75POtTXbt7kz6J6wIOf=s1024-v1,
Grist House Craft Brewery,15209,https://gristhouse.com/,40.4787139,-79.9722824,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqspM835Y1wn2ulBzch0HVNf8OFhoA3WL1k0Mm7niyfYglOe7uP14Q-ziesjtYFYYrf1FfuATpsGEc9NXVTVtIOz3t8Rnx5map3pheiuhRmR--qHJS9el41qHpUTjg_yV_NvyXy=s1024-v1,
Poetry Lounge,15209,https://www.poetrymillvale.com/,40.4821428,-79.9741324,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/p/AF1QipNGjjHghd-9BYMkDbfeD5hYwVWPrdtXWrtiN53G=s1024-v1,
Bottlerocket Social Hall,15210,http://bottlerocketpgh.com/,40.4210471,-79.992225,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer5O7aR9IUl48EAAS8npzNTD5rnmdex2gmvx7pVfHVAbQ9FoD0PqmVHOEcLEg1gulYZJcRfsHEgrEGdggjGDDCsaB1Pxblgquz7E9ZGx90gJf4bfoKjDMo5Oi_4HbiQ_ElcFWdA=s1024-v1,
Carrick Lit Club,15210,https://m.facebook.com/thelitclub,40.3954217,-79.9903659,Night club,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepIrUA1R5gRj5Ibl4XqUW4eLCwcUJsvyuvh6spkzSfpqLgM8XUE1GfKNKvqz9ayvXhYEt6yiWZoMKdmi66m9VReBs_TnP1Uy0eYfg5zv49k1gUYe7yGz9737VfrND_cEwTe6Iltd4M0NDol=s1024-v1,
"Emma Lazarus, Art and Music",15210,https://www.emmalazarus.com/,40.3969505,-79.9881095,Live music venue,,,,$$,https://lh3.googleusercontent.com/p/AF1QipMmxEzcMu1bR1DoY0j4jJirV-XpcTzmok222Mco=s1024-v1,
Inner Groove Brewing - Pittsburgh Taproom,15210,https://www.innergroovebrewing.com/,40.4219841,-79.9926767,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/p/AF1QipPwCPdbqVzZAPNHZk9tmUzWgCbMxwYTj-nLRSUb=s1024-v1,
K&M Pub,15210,,40.4216119,-79.9870656,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerAPUBde0e9-vvXsAzBv8c2HryhDyTr_Eknbt7XtzvcM3sz7NoSkpPsZHQPmpQwaeHOQQz1tL0DoRGd7hg9gim8s4h9kyHXgaCtx-y3QDFMuzwVcR5KSURfP0kRsq-Tb6C_8iWI0mKP9CI=s1024-v1,
Shred Shed,15210,,40.4216149,-79.9945185,Live music venue,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodRXAK3gMLUcCAh7lRARTbuTLH3dVHJM4aeeWdvqOoNpaqfXUerHk9aadpdcMLbiclcSPc4QhaLlBIfU_eJpjWb71zSZpBdwiLuqR84pelzpSFwgjAqN-U0pkfL3coN5ZaHPgn=s1024-v1,
The Storyville Lounge at Dr. Tumblety's,15210,http://inspiredbyspirits.com/storyvillelounge,40.4218809,-79.9938976,Lounge,,,,$$,https://lh3.googleusercontent.com/p/AF1QipNg7eY7Uvof6Qi3JYCucRbuDsSvhPhsz5ovcRzt=s1024-v1,
Whovilles Bar,15210,https://www.facebook.com/whovilles.bar/,40.3937929,-79.9865816,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq4daEDSx6VpgKvusFWF0k_QTDNkB4RN9_YyitoBHEqbpvkTm8r24k86OSDpBC2DnQ0iX_nH4ZhiqLVwj2vGSj4uYxgahzYP3zCGI9SbSqkppRm0Z0_dCna-wVNQzoYqJwwnlPsJQ=s1024-v1,
Cafe Nikos,15211,,40.4303358,-80.0075577,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoEOPabwUS_cSHdUd1vlW_JRHCGXSK8oHfp-J_EnBCdZI19GdoCmZtHTt840Y7nVA1hKmBMVywMQYijDxIzXuwKwETML38erHx3aEGU6Sfq8Z9Iznw-ED_jINfVsxBc0fN7wgJ1=s1024-v1,
Satalio's,15211,,40.4271862,-80.0042076,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-KWc7u2itNf8K_CauUrR1dRDW654qdPPeBFuiQWodNXkG02aofHZSP-xpwvxLyr3SowQaQENQJ6tu7uXgezoyW20lFB-590AuZlCbKa-DOMI7mYgVrYxJry53Cfa_wOhCN-oC=s1024-v1,
Scarpaci's,15211,http://www.scarpacis.com/,40.4289911,-80.0071662,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerRAfznuKdc526T8uaQbVeKqwtgVpzy7GW3cdiUavn3RqJpmcbJOhXhYc5WTk2qbaZXnVlXSiWj_O1Tb_lJVX5pAjT4_wf_uRWtqHEwusYpEzeY1CLIXMY1h5vA9M76wMRs-Ebv=s1024-v1,
Sloppy Joe's,15211,,40.4301585,-80.0072843,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_P_0ibNS0rfIBRlh1Iy4d2Yq2CD9OGNx3FqwYZjLqJhRnTAW5HLQDx2_iH5xZ0gCS-N9okiXuuv4H1uuah57p6WqXagM81HSKGVYuYnaDA1rbBrMXfpPTnAlKmANGb0fqvzAQ3Q=s1024-v1,
The Grandview Saloon,15211,https://thegrandviewsaloon.com/,40.4381429,-80.0185374,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwqDOtnYYngbfuc60zeMvMUNh8Xt1MmQAL8iiJIlHFBq5GQNgj_hRhletuic9RCIwCsMUPbaNbu8qxPIqL4ckYhSq2MZCoJFqCgM6eqas2UOEqSM6MRvRcMpMHC-Vskj9CKSzDXg=s1024-v1,"Terrace views over seafood & steaks. Bistro & bar offers a semi-upscale space, terrace views of the city, fried fish, steaks & burgers."
The Summit,15211,http://thesummitpgh.com/,40.4307527,-80.0075324,Lounge,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqkvngZbHCDffOBKEH3Jth7_ODjfpipDNYulH0VNY2uwtQk0is_VosfQTMznSlDKw6i0NmOUYBoOM472hgvjJulSk8NuwTof9ii4wXJth62HxMiVCF5ITdLiGQVKtDeAwxtEic7=s1024-v1,Warm haunt with choice bites & cocktails. Cozy pick offering craft cocktails & elevated pub grub in dimly lit digs with exposed-brick walls.
Allegheny City Brewing,15212,http://www.alleghenycitybrewing.com/,40.4537786,-80.0002783,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwernTOXz_77dfeO4uB96bC8K2_eFsax6-6HnNmgjjFTrqN0LjhG57pXqle1ZAhWfCW4MR6Sp_n1JIadWX7X5YeUvFVJz2keswczvSDpv2zqIVR1qzJP7MTLJWMopDyqaf5RkDaMUXA=s1024-v1,
Bar Louie - North Shore,15212,https://www.barlouie.com/locations/us/pa/pittsburgh/north-shore,40.4463639,-80.0106043,Bar & grill,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAS2vsm1444NMS1_Hq4hmka69KXPUcKlvAqeAiAoUl3RHVnppHGv4yi8dMmFL6ldcjubQvZasl6IBgFAF6M4moIJ4Bb69sx3yLCe6Lp1ydmEOIXb5jqKWDrfAzez0SMpD1MNhf=s1024-v1,"American pub grub, microbrews & martinis. Upbeat grill chain with American grub, martinis & microbrews, plus happy-hour deals."
BURN by Rocky Patel Pittsburgh,15212,http://www.burnbyrockypatel.com/,40.4461372,-80.0110897,Lounge,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqIA3w_cm5WLpBUpJyKn_AundDhf4hftDQ6W7HiKYOqy0XK41oertztA64e_wO_UtjCo7AgdsYUqW8-luCon5s_wy5jN4_Q8yq2IJlZdXSAqMP97QYl5ioplWFh4Of9ziTM1KE1D6txC0Ie=s1024-v1,
Government Center Bar,15212,http://www.thegovernmentcenter.com/,40.4545848,-79.998225,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepEQMEWa3BulzpECsQ_8ckvJVjqncJkjeBCYXBWCzGukT-9sAjxkN1Ub_pVOzlhOGqHjRil3bQ2DoLijhN0OhHm77si8NOSXEiYdLR4Yey3UfhOo6uJCPwzGmfsL7v7V0xQhYa_=s1024-v1,
Hysyde Lounge,15212,https://www.instagram.com/hysydelounge,40.4670426,-80.0343623,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqMbkWT5L-_voOZXexx3TEpdTZjTgH3L5hxdh2QLUqm2rABRp9-ucWWYy65UPsA0l-JdReZJlitEJ2IXOaxZbcSW8f8A6AKbrUgBEMIjxbtZUiezXLoMxmA24FJI1RgbIM3HYXHPg=s1024-v1,
Jason Aldean's Kitchen + Bar,15212,https://www.jasonaldeansbar.com/pittsburgh,40.445704,-80.011482,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepdgvR-LNdnWF0iZtnZRHYkz6v6MRrK42vIm7xEI3FkS7-o1Q6xwVySNZ9y04CQZHp73vzsxJQ_oE2UjKsQEXQDXiy7fxJUxA9ciQy6GJgx3oeCj2Wvf2eGnSPFTgDAZMlJ6AS9=s1024-v1,
Jim Beam Left Field Lounge,15212,https://www.mlb.com/pirates/ballpark/events/venues/left-field-lounge,40.4474063,-80.0042851,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer46c50Y85JuPzN5llHYzt_hWr0wok1eihdsCu8vWWKadcXeQ33IvIQ_PZel5qes_OTx44R8BkYmr2a2EKfkNx36pctQLuW0djg-H7oGxLbOn-jvF0rWW77AYOhKa9bbh6bVuDMaNwn8oWJ=s1024-v1,
Monk's Bar,15212,,40.4522867,-79.9981671,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpLoH_-bYBqRN6P4gXW_wT4fZApkUqR9U9siFq3pL190icc3oDrUd7Zlc5lUvcAigbUHyv8KTr2o4bkAgwQLVLVkVHxLW-l8Fy-2NdEer0wqrbRnxArIxXWgref0WBGS9aa-RV0A=s1024-v1,
Monterey Pub,15212,http://themontereypub.com/,40.4556322,-80.0132228,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepd4B9KVXJZpX9GHX1cY47fhpwMrlvzI8sNXlVeD7alLRG11CEKRNGS4K86MwmUgFVGDN5Xzufuxzt8CKMTXi0pLmNFwCU-J0WCBRbgzNwBW-8WyjjOUczPm4jNMxw4V0JvnNHQ=s1024-v1,"Irish pub with a cozy, antique feel. Tavern featuring vintage wood booths and a fireplace, plus Irish eats & American comfort food."
O'Brien's,15212,,40.4759994,-80.0313402,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1Xjz9WOPl28VEuUcG9FUW3mDzj3MRhmINJ6zrNyhJOCXVXB0R9cD02gmL_K1zvfGqU693YUVnd24NekQJDYXcqXZJ6sVmQkp1dMix2iLjM4zCS2JmndGQoQ2YAhDBpnDq8f6IoQ=s1024-v1,
Park House,15212,https://parkhouse412.com/,40.453258,-80.001425,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweobxYADXWgKGMD-xoZVsd8ra607G4LwwG7-pviAkl_Qb3ViE2N9OE0a0sA5-VwxyVJVqGc1RRsBDNe58XdacJo_opYTQd4YnA6MB0ls6S3NBUWQUaOR6UEbzCeovAqtnATV1cZ0_Q=s1024-v1,"Low-key spot for beer, bar bites & music. Comfy pub with a warm vibe offering craft brews, Mediterranean-style bar food & live music nights."
Penn Brewery,15212,http://www.pennbrew.com/,40.4571715,-79.9915052,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepetBKo18w7egkIiNZptyoqH3INLCJ9xtE2bymRVJmOJ9Zx529ZtWYM3OS307QUnjvEWDn8zooln8UdDyJ76R3aNP9_bBx0VyL6PPNym0Lna7ZP0EhHcoL8KBWBqoogf1I3_1E=s1024-v1,"Longtime German-style brewery with tours. Long-standing brewery features German-style brews, diverse comfort fare, regular live music & tours."
Pittsburgh Sports Bar,15212,,40.4765653,-80.0306078,Bar / Pub,,,,$$,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ze3WmrwlMH9R0Y-Y-SDEcQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=43.02958&pitch=0&thumbfov=100,
Pub 33 Bar and Grill,15212,,40.4466567,-80.0144311,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweplgGLn6H-znML3Ng-7mRVpQAoQ1ZDLEqDzpKjnKTaYnBxxe3MDe7coJ-36rY0puYz1E_XwPsL1G0S0TA_MPJksor6n5QleZ7HwDwDW6lkOwTm_Isqf5IsjRrFzDr14eWdp7PQpWg=s1024-v1,
Rivers Casino,15212,http://www.riverscasino.com/pittsburgh,40.4478179,-80.023202,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepzbupabZZO7AysscxHX2TlLlJGkF_bpMloEf6sFdh_hg8EPRyop0jnWUS8gTwQjGKVHOMhXtGpFdiEMGtw1TvZP9Gn-djhJsNgMb-2LDBhR4YOzl_zFznaVUVog1mtm5qmjJ5_=s1024-v1,"Slots, poker, dining & performances. Casino with slots, craps, poker & other table games, plus several restaurants & live entertainment."
Shorty's Pins x Pints,15212,http://www.shortysx.com/,40.4457544,-80.0108071,Bar / Pub,1,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerxu7zYWb6B4y3uHNcfjzr_WcRykVtWJ9AH8i4-uHxoyeCnuDVIeGtdG9aPWhQNazW1xkskAvoVdt2Teoxh0dAgkRNgkJyzzYFIEaRn6QOyWrdWEQl04xRizzPmgAlHPDy3yrVla2CjIYGM=s1024-v1,
Steel City Sports Bar & Grub,15212,http://www.steelcitygrub.com/,40.4765653,-80.0306078,Bar / Pub,1,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoB9-RkIEeFK6eky__zecdCoUr24n63jqVV_f8Jb7FJYNVauakFU5a4Zq3e-mtUYryCfoj9inrLDvPLTeGd0_iDlwWGBWxv2l_NLWSTap79ZRJdT9jIsSGuo505_sJ-MyxHnkYy=s1024-v1,"Roomy American haunt with bar games. Big sports bar & American eatery offering pub grub, TVs, a deck & games like pool & air hockey."
Tequila Cowboy,15212,https://tequilacowboy.com/pittsburgh/,40.4460747,-80.0115356,Bar & grill,,,,$$,https://lh3.googleusercontent.com/p/AF1QipNvfUb3w0n3hwgccx6_xEvBTYLR1Mmz8fMoFJg=s1024-v1,
Tom's Watch Bar - Pittsburgh,15212,https://tomswatchbar.com/pittsburgh/,40.446179,-80.008876,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqausP5XHE09rSGGCqqvTenFEQUkwQfnV1akCTOgIG-xJ1seQRC_O_Y2oPeM5QZRCkrwz69UUNkiG3VlO7A6kw1QkBoOz7GHK8DMzsf49uFT55tSyc6vVitNDdck2mgXGubyE1FHGsgLz4C=s1024-v1,
Verdetto's | Bar & Restaurant,15212,https://verdettospittsburgh.com/,40.4552778,-79.9969444,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerudxjcaoTr2lWSFdi53qImjIbpP6jP_N7hYOmcd9ZtTyXL_fU2OPp_gjEh9ixbecmyj9Z6hOCSW84xd-2XfTJBtPxbkRYiNLNfwxURYVDuUgUNVEiEUCqF3hH_FwDu_57MwFI8=s1024-v1,
Young Brothers Bar,15212,http://www.youngbrothersbar.com/,40.4750853,-80.0349863,Bar / Pub,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerdFLR8dr1IYTPYICHEfXCzwBKCgjAPJjASIWV3gnfVX0fhQz3JfVMTnnTg3VQNjt6TZAXBj7jVEizilJHvKGSrnVscOniz4vLa53n85pTW95hj8jw3MgOu0fHqURgVTt9HUn_J=s1024-v1,
Electric Banana,15213,http://www.electricbananaclub.net/,40.4547313,-79.9543093,Night club,,,,$$,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mON6b7eMtsImTNL8rew2xg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=83.23389&pitch=0&thumbfov=100,
HAVEN,15213,http://havenvenue.com/,40.4381085,-79.9536756,Live music venue,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoiDl2pkQ6Qbd555QnnNlfxQ1BFRwsbZ_uuksaB4MRmF6IBpgnBNsngv52NaV5skQK-plvaNZQLX3UirYMbhSKFls0i8ovK02n1VUd3UNsGqtJls24Ka8hkqmF8GXWyJtBay7Og=s1024-v1,
P Town Bar,15213,https://ptownbarpgh.com/,40.4540385,-79.9489786,Bar / Pub,,,1,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoZmvJJ9Nxel0CVxJjpzwmTEm1BA-agFu_pow_nDUZbvMPKW8syfmgvO4WDye_T3pNXQwi03E5avQi0SWJiOU9OTuewgX5N-JVX84ATN0z2LmKfgkOKJtu97fcYtEPPqfYc-eY2=s1024-v1,"Vibrant bar with karaoke & events. Lively bar featuring regular events & karaoke nights, plus a pool table, a jukebox & pinball."
Phat's Bar,15213,,40.4365212,-79.9545707,Bar / Pub,,,,$,https://lh3.googleusercontent.com/p/AF1QipOr-mgLrradKDHCT4LrbyFxnODyBHcn8uHqJEl6=s1024-v1,
